judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak,Abstract
Analisa Pemilihan Alat Kontrasepsi Dengan Menggunakan Metode Naive Bayes,Penulis : Ratih Marcelina,Dosen Pembimbing I : Firli Irhamni,Dosen Pembimbing II :Muhammad Ali Syakur,"KB adalah singkatan dari Keluarga Berencana. Menurut Kamus besar Bahasa Indonesia (1997), KB adalah “Gerakan untuk membentuk keluarga yan sehat dan sejahtera dengan mengatur kehamilan”. Dengan kata lain KB adalah perencanaan jumlah keluarga. Pengaturan bisa dilakukan dengan penggunaan alat-alat kontrasepsi atau penanggulangan kehamilan seperti pil, suntik, IUD, dan sebagainya. Jumlah anak di anggap ideal adalah dua anak.Dalam proses penentuan pemilihan alat kontrasepsi tersebut memerlukan  Metode peramalan yang digunakan dalam sistem ini adalah metode Naïve bayes classifer untuk menghitung jumlah ketepatan dalam menentukan pilihan alat kontrasepsi. Aplikasi sistem pendukung keputusan dengan Naïve bayes classifer dapat dijadikan solusi untuk menentukan alat kontrasepsi, Nilai konfigurasi parameter untuk sistem pendukung keputusan dengan menggunakan Naïve bayes classifer.

Kata Kunci : Alat Kontrasepsi, Sistem Pendukung Keputusan,  Naïve bayes classifer
","KB is abbreaviation of Family Planning. According big Indonesian Dictionary (1997), KB is ""Movement to form a healthy and prosperous yan families with birth control"". In other words, KB is the number of family planning. Arrangements can be made with the use of tools such as contraception or pregnancy prevention pills, injections, IUDs, and so on. The number of children considered ideal is two children. In the process of determining the election of contraceptives requires forecasting method used in this system is the Naïve Bayes classifer method for calculating the amount of accuracy in determining the choice of contraceptive. Application of decision support systems with Naïve Bayes classifer can be used to determine the contraceptive solution, configuration values for the parameters of a decision support system by using the Naïve Bayes classifer. 

Keywords: Contraceptives, Decision Support Systems, Naïve Bayes classifer
"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Rancang Bangun Aplikasi Kamus Indonesia Madura Berbasis Android,Penulis : Rizky Ardiyansyah Putra,"Dosen Pembimbing I : Cucun Very Angkoso, S.T.,M.T.","Dosen Pembimbing II :Fika Hastarita Rachman, ST., M.Eng.","Kamus pada perangkat selular lebih praktis dibandingkan dengan kamus cetak konvensional, karena pengguna dapat menerima informasi dengan cepat dimana saja tanpa adanya batasan ruang dan waktu. Kamus dapat memberikan informasi dan juga dapat dijadikan suatu media untuk belajar memahami istilah atau arti kata bahasa asing ataupun bahasa suatu daerah sehingga menambah pengetahuan dan wawasan.
Madura sebagai salah satu daerah di Indonesia yang memiliki adat bahasa yang khas. Selain itu, keaneka ragam budaya yang ada di Madura menjadi daya tarik wisatawan untuk berkunjung ke Pulau Madura. Ketrampilan berbahasa sangat dibutuhkan untuk mempermudah berkomunikasi dengan masyarakat madura. 
Penulis menggunakan Android sebagai platform media aplikasi ini karena android berbasis open source. Kebutuhan akan informasi sangat penting dan semakin luas pengetahuan pengguna akan bahasa daerah khususnya bahasa Madura dapat terpenuhi serta tidak terbatas ruang dan waktu karena kamus Madura ini diimplementasikan pada perangkat selular yang menggunakan sistem operasi Android versi 2.3 Ginggerbread. Aplikasi kamus mobile bahasa Indonesia Madura berbasis android ini dirancang agar pengguna dapat menambah wawasan dan mengetahui kata-kata dasar bahasa Madura dengan mengakses langsung dari perangkat selular mereka tanpa harus mencari pada kamus cetak konvensional atau menggunakan kamus online.

Kata kunci : Android, Kamus, Indonesia – Madura
","Dictionary on mobile devices is more practical than conventional print dictionaries, because the user can receive information quickly anywhere without any limitation of space and time. Dictionaries can provide information and also can be used as a medium to learn to understand the meaning of a term or a foreign language or a regional language that adds to the knowledge and insight.
Madura as one of the regions in Indonesia which has a distinctive indigenous language. In addition, the diversity of cultural diversity that exist in Madura attract tourists to visit the island of Madura. Language skills are needed to make it easier to communicate with the people of Madura.
The author uses Android as a media platform for android application based on open source. The need for information is very important and more extensive knowledge of the local language users in particular will be met and Madurese language is not limited to space and time as Madura dictionary is implemented on mobile devices that use the Android operating system version 2.3 Ginggerbread. Indonesian mobile dictionary application android based Madura is designed so that users can add insight and know the basic words of the language of Madura with access directly from their mobile devices without having to look for the conventional print dictionary or use an online dictionary.

Keywords: Android, Dictionary, Indonesia - Madura"
,,,,,
,,,,,
APLIKASI METODE FUZZY ANALYTIC NETWORK PROCESS (FANP) UNTUK MENDUKUNG KEPUTUSAN PROSES PROMOSI JABATAN DI PT. SURYA MADISTRINDO PAMEKASAN,"Penulis : Robiatul Adawiyah, S.Kom","Dosen Pembimbing I : Diana Rahmawati, S.T, M.T","Dosen Pembimbing II :Budi Dwi Satoto, S.T, M.Kom","Perusahaan pemerintah maupun swasta mempunyai tujuan yang harus dicapai. Pencapaian tujuan perusahaan dapat dilakukan dengan pemanfaatan sumber daya yang dimiliki secara optimal, salah satu sumber daya tersebut adalah sumber daya manusia yang dimiliki oleh perusahaan. Sesuai dengan peraturan yang telah ditetapkan PT. Surya Madistrindo Pamekasan dalam melakukan proses promosi jabatan, maka diperlukan kriteria-kriteria seperti aspek kapasitas intelektual, aspek sikap kerja, dan aspek perilaku yang masing-masing mempunyai sub kriteria tersendiri. Metode yang digunakan adalah metode Fuzzy Analytic Network Process (FANP). Metode FANP sendiri digunakan untuk mencari bobot prioritas kepentingan dari seluruh kriteria dan sub kriteria yang telah ditetapkan dan sebagai proses perangkingan atas bobot kriteria masing-masing data karyawan. Pembobotan diperoleh dari hasil kuesioner yang dilakukan oleh pimpinan perusahaan. Proses perangkingan dilakukan dengan cara mengalikan nilai bobot dari kriteria ke tiap-tiap sub kriteria sehingga mampu menyeleksi karyawan yang berhak menduduki jabatan yang tersedia berdasarkan kriteria-kriteria yang ditentukan. Dari hasil uji coba dalam menyelesaikan studi kasus proses promosi jabatan karyawan menghasilkan nilai akurasi sebesar 80%.


Kata kunci 	: 	Sistem Pendukung Keputusan, Promosi Jabatan,  Fuzzy Analytic Network Process (FANP)
","Government and private companies have a goal to be achieved. Achievement of corporate goals can be done with the use of available resources in an optimal, one of these resources is a human resources company owned by. In accordance with the rules set PT. Surya Madistrindo Pamekasan in the process of promotion, then the required criteria such as aspects of intellectual capacity, aspects of work attitudes, and behavioral aspects that each has its own sub-criteria. The method used is Fuzzy Analytic Network Process method. The FANP method itself is used to find the weight of the priority interests of all criteria and sub criteria have been established and a process for weighting the criteria grading process each employee. Weighting obtained from the questionnaire conducted by leader of company.  Grading process is done by multiplying the value of the weights of the criteria for each sub criteria that candidates who are eligible employees of the available positions based on criteria determined. From the test results in the complete case study of employee promotion process generates value by 80% accuracy.

 
Keywords	:	Decision Support Systems, Promotion, Fuzzy Analytic Network Process (FANP)
"
,,,,,
Klasifikasi Dokumen Web Berita Universitas Menggunakan k-NN (K-Nearest Neighbor) ,Penulis : rohmi nur hidayah,"Dosen Pembimbing I : firdaus solihin, S. kom., M. Kom","Dosen Pembimbing II :Hermawan, S.T., M.Kom","Jumlah dokumen berita di situs web universitas semakin banyak dan up-to-date. Kebutuhan pengunjung akan informasi tersebut semakin tinggi, sedangkan di sisi lain pengguna membutuhkan penemuan informasi yang cepat dan akurat. Penelitian ini menggunakan metode cosine similarityuntuk menghitung kemiripan antar dokumen. Selain itu agar pencarian dokumen mudah ditemukan, maka dokumen diklasifikasikan berdasarkan pada kelas-kelas yang sudah ditentukan sebelumnya (preedefined) menggunakan metode k-NN (k-nearest neighbour). Untuk mempercepat penyampaian hasil pencarian kepada pengguna maka pada aplikasi ini digunakan teknik caching terhadapdokumen-dokumen yang pernah dikembalikan sebelumnya kepada pengguna. Teknik ini dimaksudkan untuk meningkatkan transfer dokumen dengan menyimpan dokumen yang pernah diakses pada cache tersebut, sehingga apabila ada dokumen yang ingin diakses adalah dokumen yang sama maka akses akan dapat dilakukan lebih cepat. Hasil pengujian memperlihatkan bahwa akurasi klasifikasi k-NN untuk dokumen teks berita mampu mencapai 95% saat dokumen diwakili oleh judul dan paragraf pertama (k=20, 25 dan 45) tetapi hanya maksimal 40% saat dokumen diwakili oleh judul dan isi lengkap. Adanya klasifikasi terbukti meningkatkan presisi hasil pencarian dan mempersingkat proes pencarian tersebut. Kehadiran cachemenjadikan waktu pemrosesan query yang telah ada sebelumnya menjadi jauh lebih cepat, rata-rata hanya memerlukan 7 mili detik.

Kata kunci : k-Nearest Neighbour,cosine similaity, cache.
","Most of the university's website in Indonesia has not implemented the classification of the content it provides. Three web site has been applying manual classification is ITB, UGM and IPB, where the result is still ambiguous. Visitors from the university's website require information that focus on a specific topic, fast in processing user queries and renewable. We conducted a study to establish a system called kNN portal intended to classify documents from chosen 10 news web sites using text classification method kNN (k-nearest neighbor). Classification results are then used to improve the performance of the process of handling user queries. Similarity between the query with a list of documents contained in the kNN Portal repository is calculated by the cosine similairity. Caching techniques are included to speed up the query processing. The test results show that the k-NN classification accuracy for news text document is able to achieve 95% when a document is represented by the title and first paragraph (k = 20, 25 and 45) but only a maximum of 40% when a document is represented by the title and complete text. The existence of the classification is able to improve the precision of search results and shorten the searching process. The presence of the cache makes the preexisting query processing time become much faster, on average only requires 7 milliseconds. 

Keywords: k-Nearest Neighbour, cosine similaity, text classification, cache, first paragraph."
,,,,,
SISTEM PENDUKUNG KEPUTUSAN PENERIMAAN SISWA BARU BERBASIS WEB MENGGUNAKAN METODE ID3 DI SMA HIDAYATUN NAJAH PAMEKASAN,Penulis : Rudi Sutrisno,"Dosen Pembimbing I : Bain Khusnul Khotimah, ST, M.Kom. ","Dosen Pembimbing II :Achmad Jauhari, ST, M.Kom.","
Penyeleksian siswa baru adalah suatu hal yang perlu ditentukan secara tepat dan tepat. Dalam hal penentuan calon siswa baru diperlukan beberapa pertimbangan yang cukup banyak dan rumit yaitu standarisasi nilai, persyaratan masuk sekolah serta kebijakan-kebijakan dari pemerintah lembaga pendidikan  yang sering berubah tiap tahunnya. Maka dari itu perlu untuk merancang sebuah aplikasi untuk membantu panitia penerimaan siswa baru dalam menyeleksi siswa baru. Sehingga nantinya memperoleh siswa yang unggul, berprestasi, dan berkualitas. Decision Tree Learning merupakan satu metode learning yang sangat populer dan banyak digunakan secara praktis. Algoritma Iterative Dychotomizer 3 (ID3) yaitu salah satu metode yang dapat membangun pohon keputusan secara top-down dengan menggunakan information gain sebagai alat ukur efektivitas suatu atribut dalam mengklasifikasikan kumpulan sampel data yang kurang lengkap. Pembuatan tugas akhir ini menghasilkan system pendukung keputusan penerimaan siswa baru yang membantu para panitia dalam menyeleksi para peserta siswa baru. Sistem Pendukung Keputusan Penerimaan Siswa Baru di SMA Hidayatun Najah Pamekasan dapat menentukan calon siswa yang unggul dan berkualitas dalam bidang pendidikan dengan hasil yang lebih baik, cepat dan akurat.

Kata Kunci : Decision Tree Learning,Information Gain , Algoritma Iterative Dychotomizer 3 (ID3)","Selection of new students is a matter that needs to be determined accurately and precisely. In determining the prospective new students required some considerable judgment and complicated the standardization value, the school's admission requirements and policies of the government educational institutions often change each year. Thus it is necessary to design an app to help new admissions committee in selecting new students. So that later gained an excellent student, achievement, and quality. Decision Tree Learning is a learning method which is very popular and widely used in practice. Dychotomizer Iterative Algorithm 3 (ID3) is one of the methods that can build a decision tree from the top down using information gain as a measure of the effectiveness of an attribute in classifying the sample data set is less complete. The final project resulted in a decision support system that helps new admissions committee in selecting the participants of new students. Decision Support Systems in High School Admission Hidayatun Najah Pamekasan can determine the prospective students who excel in the field of education and quality with better results, quickly and accurately.

Keywords : Decision Tree Learning,Information Gain , Algoritma Iterative Dychotomizer 3 (ID3)
"
